id_label_in_documents,name
1,bãi cỏ
2,bực mình
3,ông bà
4,hay là (hoặc là)
5,không cho
6,bên trên
7,cùng / với (giới từ)
8,họ (2 người) (đại từ)
9,làm được
10,ở ngoài
11,tuần này
12,từ chối
13,nhưng
14,một ít/ một chút
15,là gì?
16,còn bạn?
17,hoặc
18,có … không?
19,các bạn
20,để (đặt)
21,trong khoảng
22,chúng tôi (2 người) (đại từ)
23,ra ngoài
24,khác
25,làm việc
26,thời gian biểu
27,nói chuyện
28,mỗi
29,không có
30,vui mừng
31,muốn
32,không khí
33,cũng vậy/cũng thế
34,chơi
35,nhỏ/ nhỏ bé
36,cuối tuần
37,nhà vệ sinh
38,đọc sách
39,tay
40,cổng
41,to lớn
42,chính tả
43,thêm
44,đất
45,phải không?
46,cao (người)
47,rộng lớn
48,theo dõi
49,hành động
50,xin lỗi
51,đi
52,tóm tắt
53,phân loại
54,cần không?
55,trang điểm
56,cha mẹ
57,gần gũi
58,tự (tự làm)
59,gấp đôi
60,gấp ba
61,quan sát
62,xảy ra
63,đói không?
64,mệt không?
65,chiên/rán (1)(2)
66,nướng
67,luộc
68,xào
69,lẩu
70,thối
71,thiu
72,nguội
73,đồ ăn
74,luộc rau
75,nước mắm
76,sáng
77,áo
78,ăn uống
79,ấm áp
80,ẩm ướt
81,ban đêm
82,bản thân
83,bạn
84,bánh mì
85,bao giờ?
86,báo động
87,bắp ngô
88,bắt tay
89,bóc vỏ
90,buổi tối
91,buổi chiều
92,buổi trưa
93,bức tranh
94,cặp sách
95,cặp tóc
96,chảo
97,chạy nhanh
98,chạy chậm
99,chăn (cái chăn)
100,chặt
101,chị
102,chiếc gối
103,chìa khóa
104,chiếm đoạt
105,chiều cao
106,chiều dài
107,chiều rộng
108,chiều tối
109,chín
110,chuẩn bị
111,chúc mừng
112,chúc tết
113,chính xác
114,chứng cớ
115,chứng minh
116,coi thường
117,chức năng
118,máy vi tính
119,con cá
120,con chó
121,con chim
122,con chuột
123,con lợn (con heo)
124,con muỗi
125,con mèo
126,con người
127,cô giáo
128,côn trùng
129,công sức
130,công tắc
131,công cụ
132,công cộng
133,công viên
134,cơ hội
135,cởi áo
136,cơm hộp
137,cúi
138,củ cà rốt
139,củ khoai tây
140,củ nghệ
141,củ tỏi
142,củ gừng
143,cục tẩy
144,cuộn giấy vệ sinh
145,cửa sổ
146,dạy
147,cửa hàng
148,cứu
149,cướp
150,dán
151,dầu ăn
152,dầu gội đầu
153,dễ thương
154,dịch vụ
155,dòng sông
156,dốc
157,dốt
158,đăng ký
159,đăng nhập
160,đằng sau
161,đập
162,đèn điện
163,đi học
164,đèn pin
165,đẹp đẽ (như đẹp)
166,đều đặn
167,điện
168,điện thoại
169,điều khiển
170,điều kiện
171,điều hòa
172,đối diện
173,đôi dép
174,nhiệt độ
175,đợi
176,đơn giản
177,đun nấu
178,găng tay
179,gắp thức ăn
180,đi vệ sinh
181,nhầm
182,mỳ tôm
183,không quen
184,không có chi
185,đúng không?
186,mệt mỏi
187,đau mắt
188,đau bụng
189,đau tay
190,đau chân
191,đau tai
192,xem
193,giấy ăn
194,hứa
195,lâu
196,vẫn
197,mỗi ngày
198,không ngon
199,đánh răng
200,tuần trước
